round,section,match,player_1,player_2,score_player_1,score_player_2,seed_player_1,seed_player_2
3,10.0,2,"Erdogmus, Yagiz Kaan","Rapport, Richard",1.5,2.5,51,14.0
4,10.0,1,"Shankland, Sam","Rapport, Richard",3,1,46,14.0
1,11.0,1,"Vachier-Lagrave, Maxime",,Bye,,11,
1,11.0,2,"Ganguly, Surya Shekhar","Ahmadzada, Ahmad",2,0,118,139.0
1,11.0,3,"Martirosyan, Haik M.","Cahaya, Satria Duta",1.5,0.5,75,182.0
1,11.0,4,"Artemiev, Vladislav","Ndahangwapo, Heskiel",2,0,54,203.0
1,11.0,5,"Navara, David",,Bye,,43,
1,11.0,6,"Grebnev, Aleksey","Quizon, Daniel",1.5,0.5,86,171.0
1,11.0,7,"Kourkoulos-Arditis, Stamatis",Divya Deshmukh,2,0,107,150.0
1,11.0,8,Nihal Sarin,,Bye,,22,
2,11.0,1,"Vachier-Lagrave, Maxime","Ganguly, Surya Shekhar",1.5,0.5,11,118.0
2,11.0,2,"Martirosyan, Haik M.","Artemiev, Vladislav",1.5,2.5,75,54.0
2,11.0,3,"Navara, David","Grebnev, Aleksey",0.5,1.5,43,86.0
2,11.0,4,"Kourkoulos-Arditis, Stamatis",Nihal Sarin,2.5,1.5,107,22.0
3,11.0,1,"Vachier-Lagrave, Maxime","Artemiev, Vladislav",6,5,11,54.0
3,11.0,2,"Grebnev, Aleksey","Kourkoulos-Arditis, Stamatis",1.5,0.5,86,107.0
4,11.0,1,"Vachier-Lagrave, Maxime","Grebnev, Aleksey",1.5,2.5,11,86.0
1,12.0,1,"Esipenko, Andrey",,Bye,,27,
1,12.0,2,"Abasov, Nijat","Suyarov, Mukhammadzokhid",2,0,102,155.0
1,12.0,3,"Idani, Pouya","Cori Quispe, Kevin Joel",2,0,91,166.0
1,12.0,4,"Karthikeyan, Murali",,Bye,,38,
1,12.0,5,"Kollars, Dmitrij","Salih, Akar Ali Salih",2,0,59,198.0
1,12.0,6,Pranesh M,"Akhmedinov, Satbek",1.5,0.5,70,187.0
1,12.0,7,"Kovalev, Vladislav","Velten, Paul",1.5,0.5,123,134.0
1,12.0,8,"Keymer, Vincent",,Bye,,6,
2,12.0,1,"Esipenko, Andrey","Abasov, Nijat",2,0,27,102.0
2,12.0,2,"Idani, Pouya","Karthikeyan, Murali",4.5,3.5,91,38.0
2,12.0,3,"Kollars, Dmitrij",Pranesh M,1,3,59,70.0
2,12.0,4,"Kovalev, Vladislav","Keymer, Vincent",0,2,123,6.0
3,12.0,1,"Esipenko, Andrey","Idani, Pouya",3.5,2.5,27,91.0
3,12.0,2,Pranesh M,"Keymer, Vincent",0.5,1.5,70,6.0
4,12.0,1,"Esipenko, Andrey","Keymer, Vincent",4,2,27,6.0
1,13.0,1,"Wei, Yi",,Bye,,7,
1,13.0,2,"Piorun, Kacper","Lobanov, Sergei",2.5,1.5,122,135.0
1,13.0,3,"Amin, Bassem","Mandizha, Farai",walkover,,71,186.0
1,13.0,4,"Gledura, Benjamin","Amdouni, Zoubaier",2,0,58,199.0
1,13.0,5,"Saric, Ivan",,Bye,,39,
1,13.0,6,"Daneshvar, Bardiya","Salinas Herrera, Pablo",1.5,0.5,90,167.0
1,13.0,7,"Motylev, Alexander","Avila Pavas, Santiago",2,0,103,154.0
1,13.0,8,"Maghsoodloo, Parham",,Bye,,26,
2,13.0,1,"Wei, Yi","Piorun, Kacper",2,0,7,122.0
2,13.0,2,"Amin, Bassem","Gledura, Benjamin",0.5,1.5,71,58.0
2,13.0,3,"Saric, Ivan","Daneshvar, Bardiya",1.5,0.5,39,90.0
2,13.0,4,"Motylev, Alexander","Maghsoodloo, Parham",0.5,1.5,103,26.0
3,13.0,1,"Wei, Yi","Gledura, Benjamin",2.5,1.5,7,58.0
3,13.0,2,"Saric, Ivan","Maghsoodloo, Parham",0.5,1.5,39,26.0
4,13.0,1,"Wei, Yi","Maghsoodloo, Parham",5,3,7,26.0
1,14.0,1,"Sevian, Samuel",,Bye,,23,
1,14.0,2,"Tin, Jingyao","Lashkin, Jegor",3,1,106,151.0
1,14.0,3,"Najer, Evgeniy","Rakotomaharo, Fy Antenaina",1.5,0.5,87,170.0
1,14.0,4,"Christiansen, Johan-Sebastian",,Bye,,42,
1,14.0,5,"Adams, Michael","Alrehaili, Ahmed Abdullah S",2,0,55,202.0
1,14.0,6,"Cheparinov, Ivan","Cordoba Roa, Angel Gabriel",1.5,0.5,74,183.0
1,14.0,7,"Lodici, Lorenzo","Samadov, Read",1.5,0.5,119,138.0
1,14.0,8,"Niemann, Hans Moke",,Bye,,10,
2,14.0,1,"Sevian, Samuel","Tin, Jingyao",3,1,23,106.0
2,14.0,2,"Najer, Evgeniy","Christiansen, Johan-Sebastian",1.5,0.5,87,42.0
2,14.0,3,"Adams, Michael","Cheparinov, Ivan",6,4,55,74.0
2,14.0,4,"Lodici, Lorenzo","Niemann, Hans Moke",2.5,1.5,119,10.0
3,14.0,1,"Sevian, Samuel","Najer, Evgeniy",3,1,23,87.0
3,14.0,2,"Adams, Michael","Lodici, Lorenzo",0.5,1.5,55,119.0
4,14.0,1,"Sevian, Samuel","Lodici, Lorenzo",6,5,23,119.0
1,15.0,1,"Aronian, Levon",,Bye,,15,
1,15.0,2,"Bartel, Mateusz",Aronyak Ghosh,2,4,114,143.0
1,15.0,3,"Salem, A.R. Saleh","Tran, Thanh Tu",2,0,79,178.0
1,15.0,4,"Mishra, Abhimanyu",,Bye,,50,
1,15.0,5,"Wojtaszek, Radoslaw",,Bye,,47,
1,15.0,6,"Lagarde, Maxime","Amartuvshin, Ganzorig",1.5,0.5,82,175.0
1,15.0,7,"Fier, Alexandr","Parligras, Mircea-Emilian",1.5,0.5,111,146.0
1,15.0,8,"Fedoseev, Vladimir",,Bye,,18,
2,15.0,1,"Aronian, Levon",Aronyak Ghosh,1.5,0.5,15,143.0
2,15.0,2,"Salem, A.R. Saleh","Mishra, Abhimanyu",1.5,0.5,79,50.0
2,15.0,3,"Wojtaszek, Radoslaw","Lagarde, Maxime",2.5,1.5,47,82.0
2,15.0,4,"Fier, Alexandr","Fedoseev, Vladimir",0.5,1.5,111,18.0
3,15.0,1,"Aronian, Levon","Salem, A.R. Saleh",1.5,0.5,15,79.0
3,15.0,2,"Wojtaszek, Radoslaw","Fedoseev, Vladimir",2,0,47,18.0
4,15.0,1,"Aronian, Levon","Wojtaszek, Radoslaw",1.5,0.5,15,47.0
1,16.0,1,"Alekseenko, Kirill",,Bye,,31,
1,16.0,2,"Woodward, Andy","Gusain, Himal",2,0,98,159.0
1,16.0,3,"Cheng, Bobby","Siddharth, Jagadeesh",1.5,0.5,95,162.0
1,16.0,4,"Leko, Peter",,Bye,,34,
1,16.0,5,"Vokhidov, Shamsiddin","Ilkhomi, Jaloliddin",2,0,63,194.0
1,16.0,6,"Chigaev, Maksim","Elbilia, Jacques",1.5,0.5,66,191.0
1,16.0,7,"Mekhitarian, Krikor Sevag","Petrov, Martin",0.5,1.5,127,130.0
1,16.0,8,Erigaisi Arjun,,Bye,,2,
2,16.0,1,"Alekseenko, Kirill","Woodward, Andy",1.5,0.5,31,98.0
2,16.0,2,"Cheng, Bobby","Leko, Peter",0.5,1.5,95,34.0
2,16.0,3,"Vokhidov, Shamsiddin","Chigaev, Maksim",3,1,63,66.0
2,16.0,4,"Petrov, Martin",Erigaisi Arjun,0,2,130,2.0
3,16.0,1,"Alekseenko, Kirill","Leko, Peter",0,2,31,34.0
3,16.0,2,"Vokhidov, Shamsiddin",Erigaisi Arjun,0.5,1.5,63,2.0
4,16.0,1,"Leko, Peter",Erigaisi Arjun,1,3,34,2.0
5,,1,"Svane, Frederik","Sindarov, Javokhir",0.5,1.5,64,16.0
5,,2,"Harikrishna, Pentala","Martinez Alcantara, Jose Eduardo",2.5,3.5,24,57.0
5,,3,"Yakubboev, Nodirbek","Sargissian, Gabriel",1.5,0.5,28,76.0
5,,4,"Le, Quang Liem","Donchenko, Alexander",3.5,4.5,13,61.0
5,,5,"Dubov, Daniil","Shankland, Sam",1,3,30,46.0
5,,6,"Grebnev, Aleksey","Esipenko, Andrey",1.5,2.5,86,27.0
5,,7,"Wei, Yi","Sevian, Samuel",1.5,0.5,7,23.0
5,,8,"Aronian, Levon",Erigaisi Arjun,0.5,1.5,15,2.0
6,,1,"Sindarov, Javokhir","Martinez Alcantara, Jose Eduardo",3.5,2.5,16,57.0
6,,2,"Yakubboev, Nodirbek","Donchenko, Alexander",1.5,0.5,28,61.0
6,,3,"Shankland, Sam","Esipenko, Andrey",2,4,46,27.0
6,,4,"Wei, Yi",Erigaisi Arjun,2.5,1.5,7,2.0
7,,1,"Sindarov, Javokhir","Yakubboev, Nodirbek",2.5,1.5,16,28.0
7,,2,"Esipenko, Andrey","Wei, Yi",1.5,2.5,27,7.0
8,,1,"Yakubboev, Nodirbek","Esipenko, Andrey",0,2,28,27.0
8,,2,"Sindarov, Javokhir","Wei, Yi",2.5,1.5,16,7.0
