date,phase,round,matchday,group,team_home,team_away,score_team_home,score_team_away
2021-11-23,group,RO32,5,F,Young Boys,Atalanta,3,3
2021-11-23,group,RO32,5,G,Lille,Red Bull Salzburg,1,0
2021-11-24,group,RO32,5,D,Inter Milan,Shakhtar Donetsk,2,0
2021-11-24,group,RO32,5,C,Beşiktaş,Ajax,1,2
2021-11-24,group,RO32,5,B,Atlético Madrid,Milan,0,1
2021-11-24,group,RO32,5,B,Liverpool,Porto,2,0
2021-11-24,group,RO32,5,D,Sheriff Tiraspol,Real Madrid,0,3
2021-11-24,group,RO32,5,A,Manchester City,Paris Saint-Germain,2,1
2021-11-24,group,RO32,5,C,Sporting CP,Borussia Dortmund,3,1
2021-11-24,group,RO32,5,A,Club Brugge,RB Leipzig,0,5
2021-12-07,group,RO32,6,A,RB Leipzig,Manchester City,2,1
2021-12-07,group,RO32,6,A,Paris Saint-Germain,Club Brugge,4,1
2021-12-07,group,RO32,6,C,Ajax,Sporting CP,4,2
2021-12-07,group,RO32,6,D,Real Madrid,Inter Milan,2,0
2021-12-07,group,RO32,6,B,Porto,Atlético Madrid,1,3
2021-12-07,group,RO32,6,B,Milan,Liverpool,1,2
2021-12-07,group,RO32,6,D,Shakhtar Donetsk,Sheriff Tiraspol,1,1
2021-12-07,group,RO32,6,C,Borussia Dortmund,Beşiktaş,5,0
2021-12-08,group,RO32,6,H,Zenit,Chelsea,3,3
2021-12-08,group,RO32,6,H,Juventus,Malmö FF,1,0
2021-12-08,group,RO32,6,E,Bayern Munich,Barcelona,3,0
2021-12-08,group,RO32,6,G,Red Bull Salzburg,Sevilla,1,0
2021-12-08,group,RO32,6,F,Manchester United,Young Boys,1,1
2021-12-08,group,RO32,6,G,VfL Wolfsburg,Lille,1,3
2021-12-08,group,RO32,6,E,Benfica,Dynamo Kyiv,2,0
2021-12-09,group,RO32,6,F,Atalanta,Villarreal,2,3
2022-02-15,knockout,RO16,,,Paris Saint-Germain,Real Madrid,1,0
2022-02-15,knockout,RO16,,,Sporting CP,Manchester City,0,5
2022-02-16,knockout,RO16,,,Inter Milan,Liverpool,0,2
2022-02-16,knockout,RO16,,,Red Bull Salzburg,Bayern Munich,1,1
2022-02-02,knockout,RO16,,,Villarreal,Juventus,1,1
2022-02-02,knockout,RO16,,,Chelsea,Lille,2,0
2022-02-23,knockout,RO16,,,Benfica,Ajax,2,2
2022-02-23,knockout,RO16,,,Atlético Madrid,Manchester United,1,1
2022-03-08,knockout,RO16,,,Bayern Munich,Red Bull Salzburg,7,1
2022-03-08,knockout,RO16,,,Liverpool,Inter Milan,0,1
2022-03-09,knockout,RO16,,,Manchester City,Sporting CP,0,0
2022-03-09,knockout,RO16,,,Real Madrid,Paris Saint-Germain,3,1
2022-03-15,knockout,RO16,,,Manchester United,Atlético Madrid,0,1
2022-03-15,knockout,RO16,,,Ajax,Benfica,0,1
2022-03-16,knockout,RO16,,,Juventus,Villarreal,0,3
2022-03-16,knockout,RO16,,,Lille,Chelsea,1,2
2022-04-05,knockout,RO8,,,Manchester City,Atlético Madrid,1,0
2022-04-05,knockout,RO8,,,Benfica,Liverpool,1,3
2022-04-06,knockout,RO8,,,Chelsea,Real Madrid,1,3
2022-04-06,knockout,RO8,,,Villarreal,Bayern Munich,1,0
2022-04-12,knockout,RO8,,,Real Madrid,Chelsea,2,3
2022-04-12,knockout,RO8,,,Bayern Munich,Villarreal,1,1
2022-04-13,knockout,RO8,,,Atlético Madrid,Manchester City,0,0
2022-04-13,knockout,RO8,,,Liverpool,Benfica,3,3
2022-04-26,knockout,RO4,,,Manchester City,Real Madrid,4,3
2022-04-27,knockout,RO4,,,Liverpool,Villarreal,2,0
2022-05-03,knockout,RO4,,,Villarreal,Liverpool,2,3
2022-05-04,knockout,RO4,,,Real Madrid,Manchester City,3,1
2022-05-28,knockout,RO2,,,Liverpool,Real Madrid,0,1
